Experiment,Minute,Event,Chamber,Event Text,A,B,Condition
3,159.67,,,,177.8626,181.0197,
3,159.7,,,,178.3478,181.6275,
3,159.73,,,,178.8293,182.1365,
3,159.77,,,,179.2926,182.6071,
3,159.8,,,,179.7644,183.0495,
3,159.83,,,,180.1852,183.4585,
3,159.87,,,,180.5512,183.8445,
3,159.9,,,,180.9099,184.2394,
3,159.93,,,,181.2893,184.6331,
3,159.97,,,,181.6468,184.9716,
3,160,,,,181.952,185.323,
3,160.03,,,,182.256,185.6499,
3,160.07,,,,182.5661,185.9333,
3,160.1,,,,182.8822,186.2193,
3,160.13,,,,182.5223,186.4937,
3,160.17,,,,177.9271,186.7296,
3,160.2,,,,189.8303,186.1962,
3,160.23,,,,194.2285,183.038,
3,160.27,,,,194.5216,186.7553,
3,160.3,,,,195.7132,193.3051,
3,160.33,,,,189.7087,194.2386,
3,160.37,,,,182.639,194.5207,
3,160.4,,,,183.7674,195.4991,
3,160.43,,,,184.7609,188.0824,
3,160.47,,,,185.5513,181.4851,
3,160.5,,,,186.4207,183.4944,
3,160.53,,,,180.5682,185.1229,
3,160.57,,,,178.2846,187.5246,
3,160.6,,,,180.4077,185.5794,
3,160.63,,,,182.3691,179.2604,
3,160.67,,,,183.8149,180.8068,
3,160.7,,,,178.0037,182.602,
3,160.73,,,,177.0747,184.3254,
3,160.77,,,,178.9826,182.611,
3,160.8,,,,180.7944,177.8204,
3,160.83,,,,181.8608,179.3271,
3,160.87,,,,176.7573,181.8377,
3,160.9,,,,177.0832,183.338,
3,160.93,,,,178.5849,177.4049,
3,160.97,,,,180.3639,176.2611,
3,161,,,,180.4928,178.6269,
3,161.03,,,,178.1654,179.99,
3,161.07,,,,180.8333,180.5362,
3,161.1,,,,194.4097,180.7812,
3,161.13,,,,192.8569,180.694,
3,161.17,,,,190.3313,180.0913,
3,161.2,,,,189.0825,183.7855,
3,161.23,,,,188.7396,201.9092,
3,161.27,,,,190.6791,199.0869,
3,161.3,,,,190.0772,195.4632,
3,161.33,,,,180.7324,193.8603,
3,161.37,,,,178.8743,193.7347,
3,161.4,,,,179.5249,194.0078,
3,161.43,,,,180.5524,188.7428,
3,161.47,,,,182.6086,184.5613,
3,161.5,,,,186.9728,183.556,
3,161.53,,,,183.6009,183.6304,
3,161.57,,,,177.8359,185.1614,
3,161.6,,,,174.65,188.3927,
3,161.63,,,,176.5494,187.7452,
3,161.67,,,,178.5254,184.1266,
3,161.7,,,,180.1475,182.8136,
3,161.73,,,,181.4279,178.9937,
3,161.77,,,,184.1675,174.9263,
3,161.8,,,,185.0394,177.6319,
3,161.83,,,,177.1452,180.6016,
3,161.87,,,,174.2342,182.7071,
3,161.9,,,,176.8777,184.1715,
3,161.93,,,,179.3255,185.2153,
3,161.97,,,,180.9999,186.0577,
3,162,,,,182.9771,186.736,
3,162.03,,,,184.0812,187.2707,
3,162.07,,,,181.2868,187.7529,
3,162.1,,,,173.8098,188.1786,
3,162.13,,,,180.7628,188.6069,
3,162.17,,,,193.5208,188.9364,
3,162.2,,,,200.7997,187.9003,
3,162.23,,,,204.3698,184.1317,
3,162.27,,,,205.9165,182.9007,
3,162.3,,,,206.4248,180.3067,
3,162.33,,,,206.3616,173.5543,
3,162.37,,,,206.0102,186.9232,
3,162.4,,,,205.452,199.569,
3,162.43,,,,204.7699,206.2714,
3,162.47,,,,204.0184,209.4246,
3,162.5,,,,203.2851,210.753,
3,162.53,,,,202.5641,211.1133,
3,162.57,,,,201.826,210.9479,
3,162.6,,,,201.0854,210.5722,
3,162.63,,,,200.3449,210.0336,
3,162.67,,,,199.6263,209.3681,
3,162.7,,,,198.9648,208.6783,
3,162.73,,,,198.2911,207.9512,
3,162.77,,,,197.6649,207.2101,
3,162.8,,,,197.0459,206.4638,
3,162.83,,,,196.4477,205.6996,
3,162.87,,,,195.8543,204.9725,
3,162.9,,,,195.2755,204.2993,
3,162.93,,,,194.7611,203.603,
3,162.97,,,,194.2881,202.908,
3,163,,,,193.8066,202.2964,
3,163.03,,,,193.3457,201.6514,
3,163.07,,,,192.863,201.0026,
3,163.1,,,,192.4398,200.3627,
3,163.13,,,,192.0373,199.7498,
3,163.17,,,,191.6652,199.21,
3,163.2,,,,191.3454,198.6535,
3,163.23,,,,191.0341,198.0918,
3,163.27,,,,190.7083,197.5648,
3,163.3,,,,190.3787,197.0968,
3,163.33,,,,190.0674,196.6736,
3,163.37,,,,189.8036,196.2646,
3,163.4,,,,189.5312,195.885,
